video ID,uploader,age,category,length,views,rate,ratings,comments
3Cy9IirNu98,IanH,744.0,People & Blogs,14.0,1390.0,4.13,131.0,98.0
1uEJgRpJAa8,Karla193,745.0,Entertainment,447.0,612.0,4.83,96.0,70.0
06nqPn8a-Wg,Zarukclan,738.0,Film & Animation,1384.0,53893.0,4.86,294.0,120.0
KTVHY87FVcc,littleloca,741.0,People & Blogs,386.0,10260.0,4.27,394.0,294.0
nmkHG5YIUTw,geriatric1927,741.0,People & Blogs,668.0,10469.0,4.79,277.0,135.0
DxQ2XQsI6X0,DCwyverx,739.0,Gadgets & Games,481.0,3992.0,4.88,224.0,165.0
emUDkyUIAMc,jezuzfreek777,743.0,People & Blogs,581.0,2212.0,2.45,135.0,250.0
u9eAC6RgRN4,1butterflykiss,744.0,Entertainment,157.0,273.0,4.6,15.0,155.0
2SuKU6cb9d0,khayav,745.0,Comedy,90.0,372.0,4.72,64.0,150.0
ki32wfWqMXc,Daxflame,745.0,People & Blogs,80.0,648.0,4.24,67.0,134.0
Kpa83AHzfXU,TheDramaTube,744.0,News & Politics,575.0,1622.0,4.16,77.0,129.0
J2AC8pDTs8s,applemilk1988,743.0,Music,148.0,3507.0,4.45,78.0,132.0
-l1aK9R_-sI,vlada3,743.0,Music,272.0,684.0,4.74,78.0,124.0
L9YpBrRHlpU,supricky06,744.0,People & Blogs,443.0,1052.0,4.13,63.0,115.0
H-ckB_ap4p0,stuartmoffatDOTcom,743.0,People & Blogs,416.0,548.0,4.97,37.0,108.0
sIpi0M4ZVGk,nrxd,744.0,Entertainment,489.0,8314.0,4.93,85.0,110.0
QcAMy_V1VWI,dabiribd,744.0,Music,188.0,312.0,4.94,52.0,107.0
qhAHnbCsqdk,degavabu,744.0,People & Blogs,463.0,775.0,4.85,75.0,99.0
R0hTG3X7sKw,idollogy,744.0,Entertainment,330.0,9930.0,5.0,102.0,97.0
uEyVCkTashw,brettkeane,744.0,People & Blogs,285.0,1120.0,4.56,93.0,95.0
Hi4j7SFje1I,katiesopinion,743.0,People & Blogs,211.0,2175.0,3.65,65.0,92.0
xp_hSc-dJKU,davidchoimusic,743.0,People & Blogs,89.0,2551.0,3.4,63.0,90.0
CXY-H7LI6sU,aaguirrejr,744.0,Music,336.0,6356.0,5.0,79.0,88.0
RN_BuZWGPGw,xXDeltaxXx,743.0,Entertainment,4.0,4140.0,5.0,5.0,86.0
ukjrl64mPi8,thedakkster,744.0,News & Politics,378.0,579.0,3.47,34.0,83.0
tY3ktuERauY,johnnysmooth,743.0,Comedy,135.0,691.0,4.73,33.0,82.0
3hRrLdfO-sY,zakgeorge21,743.0,People & Blogs,320.0,1401.0,4.73,60.0,83.0
G-mbmQ4QH0k,warren25smash,744.0,News & Politics,496.0,1236.0,4.29,103.0,81.0
Nay-goPlTtY,thedakkster,744.0,People & Blogs,715.0,731.0,4.26,46.0,78.0
RKdwvQTwWIw,IanCrossland,744.0,People & Blogs,589.0,533.0,3.23,35.0,77.0
jGcc12Oz8OE,nalts,744.0,Pets & Animals,67.0,1107.0,4.6,78.0,77.0
4x8FDSKonCI,MuggleSam,744.0,Entertainment,160.0,521.0,4.94,81.0,78.0
cQ0k6e-pdKU,ILikeToBeTiedUp,744.0,Howto & DIY,60.0,2564.0,4.37,82.0,78.0
-edWVT3VvpE,LUCYinLA,744.0,People & Blogs,448.0,983.0,4.04,84.0,75.0
qncDuFTQtk8,edgarsalazar580,743.0,Sports,60.0,8664.0,4.87,15.0,68.0
f-D2wBvm8Cc,TheAmazingAtheist,744.0,People & Blogs,424.0,1302.0,4.81,64.0,69.0
4TtIgla3bIM,markapsolon,744.0,Comedy,56.0,777.0,4.12,24.0,67.0
v0LeLdN2azI,thereaganite84,738.0,News & Politics,115.0,9942.0,2.88,169.0,343.0
5_L20DRA8Pc,Zipster08,741.0,People & Blogs,162.0,5872.0,4.62,232.0,273.0
IUvQ7Slfo-A,pundital,742.0,News & Politics,155.0,20547.0,2.57,250.0,290.0
N1LetB0z8_o,BigD822,741.0,News & Politics,118.0,52154.0,4.47,182.0,265.0
9Jiblj9afyc,khayav,740.0,People & Blogs,47.0,7302.0,4.33,232.0,245.0
4QUqiZGPK3I,renetto,741.0,Comedy,149.0,8215.0,3.88,335.0,244.0
Vy-15QbpmRY,GeorgeLikesTacos,738.0,People & Blogs,180.0,31073.0,3.72,191.0,237.0
_hwI_Hb-RN4,tedibur2007,744.0,Film & Animation,491.0,1429.0,5.0,36.0,22.0
ebBmwRIgupc,tedibur2007,744.0,Film & Animation,462.0,964.0,4.88,17.0,1.0
